artist,track,Year,entrance_date,peak,wksoncharts,d_genre1,d_style1,key,energy,liveness,tempo,speechiness,acousticness,instrumentalness,mode,time_signature,valence,danceability,typicality,raw_tempo,datestr,mean_energy,mean_liveness,mean_tempo,mean_speechiness,mean_acousticness,mean_instrumentalness,mean_valence,mean_danceability,mean_mode
Bobby Lewis,Tossin' And Turnin',1961,1961-04-24,1,23,Funk / Soul,Vocal,0,0.823992,0.2452,0.584697538246,0.063348,0.785791,0.0,1,4,0.961996,0.625147,0.868270733,141.795,24/4/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Rick Nelson,Travelin' Man,1961,1961-04-24,1,16,Pop,Rock & Roll,6,0.295436,0.375405,0.509492392066,0.037204,0.672873,0.0,0,3,0.978156,0.751774,0.769189866,123.557,24/4/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Pat Boone,Moody River,1961,1961-01-05,1,15,Pop,Vocal,0,0.235989,0.332937,0.315228238011,0.038478,0.98254,0.034993,1,3,0.206183,0.166624,0.792776069,76.446,1/5/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Gary (U.S.) Bonds,Quarter To Three,1961,1961-05-22,1,15,Rock,Rock & Roll,10,0.942442,0.38921,0.651482413096,0.172304,0.866255,0.0,1,4,0.520825,0.503336,0.876663774,157.991,22/5/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Joe Dowell,Wooden Heart,1961,1961-06-26,1,16,Rock,Rock & Roll,1,0.115593,0.107679,0.342662158262,0.031324,0.877127,0.004034,1,4,0.858808,0.616145,0.860737908,83.099,26/6/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Highwaymen,Michael,1961,1961-10-07,1,17,"Folk, World, & Country",Folk,0,0.07471,0.157338,0.438546864047,0.033842,0.949025,0.733064,1,4,0.512487,0.370836,0.789779679,106.352,10/7/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Bobby Vee,Take Good Care Of My Baby,1961,1961-07-08,1,15,Rock,Rock & Roll,1,0.466053,0.091416,0.338678817368,0.038862,0.839227,0.0,1,4,0.87118,0.506927,0.880872083,82.133,7/8/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Marvelettes,Please Mr. Postman,1961,1961-04-09,1,23,Funk / Soul,Rhythm & Blues,2,0.672908,0.024401,0.497843387902,0.035832,0.541718,0.006381,1,4,0.969892,0.837886,0.873418875,120.732,4/9/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Ray Charles,Hit The Road Jack,1961,1961-11-09,1,13,Funk / Soul,Swingbeat,8,0.706775,0.466095,0.358038843759,0.053683,0.509338,5e-06,0,4,0.949893,0.793882,0.759385458,86.828,11/9/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Dion,Runaround Sue,1961,1961-09-25,1,14,Rock,Pop Rock,2,0.71739,0.141568,0.323038225228,0.077921,0.529315,0.0,1,4,0.81579,0.552656,0.881456255,78.34,25/9/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Jimmy Dean,Big Bad John,1961,1961-02-10,1,16,Rock,Country Rock,8,0.287982,0.11152,0.73401096862,0.22733,0.595562,0.0,1,4,0.467024,0.490675,0.873991575,178.005,2/10/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Tokens,The Lion Sleeps Tonight,1961,1961-11-13,1,15,Rock,Pop Rock,5,0.754917,0.163025,0.296111500557,0.102265,0.499148,0.0,1,4,0.503293,0.248106,0.869768053,71.81,13/11/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Joey Dee,Peppermint Twist - Part 1,1962,1961-11-20,1,18,Rock,Rock & Roll,0,0.770947,0.26286,0.809034678982,0.044768,0.000475,1.5e-05,1,4,0.949675,0.543245,0.791402275,196.199,20/11/61,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Gene Chandler,Duke Of Earl,1962,1962-01-13,1,15,Rock,Doo Wop,5,0.476757,0.203225,0.431738897365,0.031788,0.533278,0.0,1,4,0.392764,0.477611,0.894356358,104.701,13/1/62,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Bruce Channel,Hey! Baby,1962,1962-01-27,1,15,Rock,Rock & Roll,2,0.470202,0.317013,0.54338790153,0.035309,0.818027,0.0,1,4,0.743633,0.653113,0.900932604,131.777,27/1/62,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Connie Francis,Don't Break The Heart That Loves You,1962,1962-10-02,1,13,Pop,Vocal,8,0.541562,0.10979,0.4859510948,0.033493,0.61463,0.0,1,3,0.201611,0.33541,0.849463752,117.848,10/2/62,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Shelley Fabares,Johnny Angel,1962,1962-03-03,1,15,Pop,Vocal,0,0.291072,0.172953,0.421421797039,0.036541,0.955975,0.000769,1,4,0.756485,0.311808,0.858870687,102.199,3/3/62,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Elvis Presley,Good Luck Charm,1962,1962-03-17,1,13,Rock,Rock & Roll,2,0.689184,0.141619,0.503839016948,0.031816,0.380131,0.0,1,4,0.813703,0.61088,0.879573879,122.186,17/3/62,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Mr. Acker Bilk,Stranger On The Shore,1962,1962-03-17,1,21,Jazz,Big Band,10,0.170062,0.104814,0.373275328852,0.037308,0.971849,0.923518,1,4,0.246184,0.535831,0.768527196,90.523,17/3/62,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
Shirelles,Soldier Boy,1962,1962-03-24,1,14,Pop,Vocal,10,0.339056,0.296257,0.401834975877,0.025129,0.777204,0.000321,1,4,0.612205,0.551948,0.880889917,97.449,24/3/62,0.592153584477,0.241663065591,0.490971756329,0.0715258558692,0.33976002352,0.0756163928672,0.616072161755,0.580440225973,0.744339432938
